epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1133.73,0.29103,0.28427,0.79348,0.99991,0.99502,0.995,0.99117,0.18247,0.20668,0.76128,0.000515,0.000515,0.000515
77,1148.27,0.28443,0.28772,0.79684,0.99991,0.99502,0.995,0.99366,0.16719,0.19451,0.75968,0.0004952,0.0004952,0.0004952
78,1162.44,0.285,0.28374,0.78968,1,0.99619,0.995,0.99212,0.17836,0.19433,0.75897,0.0004754,0.0004754,0.0004754
79,1177.12,0.28097,0.27936,0.79543,1,0.99619,0.995,0.99243,0.17803,0.20322,0.75931,0.0004556,0.0004556,0.0004556
80,1191.64,0.27681,0.28025,0.79511,0.99992,0.99502,0.995,0.9916,0.18067,0.20562,0.75978,0.0004358,0.0004358,0.0004358
81,1206.51,0.2751,0.28314,0.79383,0.99989,0.99502,0.995,0.99225,0.17306,0.19688,0.75936,0.000416,0.000416,0.000416
82,1222.03,0.27057,0.28151,0.79511,0.99989,0.99502,0.995,0.99366,0.1742,0.20242,0.75926,0.0003962,0.0003962,0.0003962
83,1236.83,0.27562,0.28034,0.79359,0.9999,0.99502,0.995,0.99325,0.1718,0.19601,0.7604,0.0003764,0.0003764,0.0003764
84,1251.65,0.26517,0.26947,0.79386,0.99991,0.99502,0.995,0.99257,0.17297,0.19082,0.75949,0.0003566,0.0003566,0.0003566
85,1266.03,0.28414,0.28417,0.79573,0.99991,0.99502,0.995,0.99192,0.17553,0.19114,0.75887,0.0003368,0.0003368,0.0003368
86,1280.86,0.26724,0.27074,0.79206,0.99988,0.99502,0.995,0.99307,0.16681,0.19131,0.75851,0.000317,0.000317,0.000317
87,1295.61,0.27419,0.27525,0.79309,0.99988,0.99502,0.995,0.99368,0.1696,0.19726,0.75882,0.0002972,0.0002972,0.0002972
88,1311.83,0.27782,0.27637,0.78977,0.99988,0.99502,0.995,0.99255,0.16676,0.19605,0.75844,0.0002774,0.0002774,0.0002774
89,1328.58,0.27323,0.2707,0.79925,0.99989,0.99502,0.995,0.99295,0.16942,0.18639,0.75828,0.0002576,0.0002576,0.0002576
90,1344.24,0.26191,0.26938,0.7996,0.99989,0.99502,0.995,0.99225,0.17141,0.18471,0.75825,0.0002378,0.0002378,0.0002378
91,1365.16,0.24019,0.26713,0.77272,0.99983,0.99502,0.995,0.99147,0.17376,0.18869,0.75495,0.000218,0.000218,0.000218
92,1380.56,0.23555,0.26097,0.7793,0.99977,0.99502,0.995,0.99186,0.17294,0.19707,0.75446,0.0001982,0.0001982,0.0001982
93,1395.62,0.24355,0.27125,0.78455,0.99981,0.99502,0.995,0.99282,0.17309,0.19581,0.75389,0.0001784,0.0001784,0.0001784
94,1410.85,0.23114,0.25285,0.77533,0.99985,0.99502,0.995,0.99325,0.16729,0.18878,0.75344,0.0001586,0.0001586,0.0001586
95,1425.61,0.23121,0.25401,0.77833,0.99987,0.99502,0.995,0.99304,0.16341,0.18462,0.75317,0.0001388,0.0001388,0.0001388
96,1440.61,0.22661,0.24953,0.78125,0.99989,0.99502,0.995,0.99329,0.16539,0.18601,0.75326,0.000119,0.000119,0.000119
97,1455.3,0.22105,0.24703,0.77684,0.9999,0.99502,0.995,0.99334,0.16319,0.18511,0.75354,9.92e-05,9.92e-05,9.92e-05
98,1470.16,0.23183,0.25162,0.77713,0.9999,0.99502,0.995,0.99319,0.16283,0.18238,0.75372,7.94e-05,7.94e-05,7.94e-05
99,1485.16,0.2283,0.2464,0.77432,0.99989,0.99502,0.995,0.99282,0.16569,0.18048,0.75368,5.96e-05,5.96e-05,5.96e-05
100,1500.63,0.21435,0.23645,0.77809,0.99988,0.99502,0.995,0.99313,0.16219,0.17762,0.75385,3.98e-05,3.98e-05,3.98e-05
