epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,593.149,0.1923,0.23265,0.78743,0.99986,0.99502,0.995,0.99393,0.13774,0.18993,0.74969,0.0004556,0.0004556,0.0004556
80,600.317,0.19775,0.23892,0.78986,0.99988,0.99502,0.995,0.9943,0.14568,0.19354,0.75112,0.0004358,0.0004358,0.0004358
81,608.438,0.19788,0.22599,0.78021,0.99989,0.99502,0.995,0.99429,0.13812,0.18926,0.74994,0.000416,0.000416,0.000416
82,615.618,0.19897,0.22817,0.78223,0.9999,0.99502,0.995,0.99426,0.1396,0.19411,0.75014,0.0003962,0.0003962,0.0003962
83,622.901,0.19495,0.23458,0.78593,0.99989,0.99502,0.995,0.99425,0.13534,0.18648,0.74904,0.0003764,0.0003764,0.0003764
84,631.608,0.18938,0.23213,0.78491,0.99987,0.99502,0.995,0.99429,0.13995,0.18459,0.75036,0.0003566,0.0003566,0.0003566
85,639.469,0.19341,0.22435,0.78972,0.99987,0.99502,0.995,0.99432,0.13882,0.18689,0.75007,0.0003368,0.0003368,0.0003368
86,647.555,0.19877,0.23057,0.78433,0.99989,0.99502,0.995,0.99442,0.13504,0.18755,0.75014,0.000317,0.000317,0.000317
87,654.777,0.19767,0.23016,0.78685,0.99988,0.99502,0.995,0.99436,0.12989,0.18416,0.74886,0.0002972,0.0002972,0.0002972
88,662.864,0.18817,0.2222,0.78643,0.99986,0.99502,0.995,0.99431,0.13171,0.18843,0.74873,0.0002774,0.0002774,0.0002774
89,670.26,0.18481,0.22179,0.78336,0.99982,0.99502,0.995,0.99412,0.13135,0.18859,0.74862,0.0002576,0.0002576,0.0002576
90,677.591,0.18998,0.226,0.77819,0.99982,0.99502,0.995,0.99417,0.12982,0.18588,0.74907,0.0002378,0.0002378,0.0002378
91,693.231,0.17867,0.23762,0.76391,0.99987,0.99502,0.995,0.99449,0.13247,0.18576,0.74771,0.000218,0.000218,0.000218
92,700.54,0.1863,0.23253,0.76156,0.99983,0.99502,0.995,0.99409,0.13914,0.1924,0.74734,0.0001982,0.0001982,0.0001982
93,708.418,0.17772,0.22662,0.75399,0.99985,0.99502,0.995,0.99443,0.13747,0.18387,0.7468,0.0001784,0.0001784,0.0001784
94,715.62,0.16739,0.22346,0.77069,0.99987,0.99502,0.995,0.99456,0.13813,0.18211,0.7469,0.0001586,0.0001586,0.0001586
95,722.741,0.1752,0.22403,0.76476,0.99985,0.99502,0.995,0.99413,0.14052,0.18641,0.74671,0.0001388,0.0001388,0.0001388
96,730.413,0.16704,0.21951,0.77482,0.99985,0.99502,0.995,0.9941,0.13727,0.19274,0.74606,0.000119,0.000119,0.000119
97,737.978,0.16585,0.21698,0.76604,0.99976,0.99502,0.995,0.99412,0.133,0.18965,0.74566,9.92e-05,9.92e-05,9.92e-05
98,745.507,0.16591,0.20954,0.77069,0.99969,0.99502,0.995,0.99426,0.13071,0.18652,0.74605,7.94e-05,7.94e-05,7.94e-05
99,752.695,0.16237,0.20677,0.76952,0.99965,0.99502,0.995,0.99414,0.12996,0.18575,0.74603,5.96e-05,5.96e-05,5.96e-05
100,759.93,0.16368,0.21275,0.76456,0.99964,0.99502,0.995,0.99425,0.12928,0.18675,0.74609,3.98e-05,3.98e-05,3.98e-05
