epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,482.793,0.19074,0.18697,0.78547,0.99989,0.99502,0.995,0.99456,0.13999,0.14805,0.74616,0.0008318,0.0008318,0.0008318
61,490.897,0.18838,0.18107,0.78468,0.99991,0.99502,0.995,0.9945,0.13975,0.14438,0.7445,0.000812,0.000812,0.000812
62,498.857,0.18163,0.18417,0.78002,0.99991,0.99502,0.995,0.9945,0.13811,0.13874,0.74599,0.0007922,0.0007922,0.0007922
63,507.11,0.1785,0.17861,0.78374,0.99991,0.99502,0.995,0.99392,0.13479,0.14683,0.74519,0.0007724,0.0007724,0.0007724
64,515.433,0.18276,0.18341,0.79012,0.99991,0.99502,0.995,0.99453,0.14806,0.15334,0.74725,0.0007526,0.0007526,0.0007526
65,523.522,0.18662,0.18377,0.78458,0.99991,0.99502,0.995,0.9947,0.13809,0.14157,0.74661,0.0007328,0.0007328,0.0007328
66,531.383,0.1829,0.17789,0.78649,0.9999,0.99502,0.995,0.99469,0.13614,0.13688,0.74669,0.000713,0.000713,0.000713
67,539.688,0.19055,0.1793,0.77935,0.99989,0.99502,0.995,0.99478,0.14136,0.14323,0.74681,0.0006932,0.0006932,0.0006932
68,548.18,0.18332,0.17978,0.7835,0.99989,0.99502,0.995,0.99443,0.12968,0.14005,0.74515,0.0006734,0.0006734,0.0006734
69,555.757,0.17953,0.17992,0.78322,0.9999,0.99502,0.995,0.99448,0.12831,0.13348,0.74555,0.0006536,0.0006536,0.0006536
70,564.093,0.18445,0.18052,0.78494,0.9999,0.99502,0.995,0.9944,0.14243,0.14898,0.74485,0.0006338,0.0006338,0.0006338
71,572.241,0.17628,0.18082,0.779,0.99987,0.99502,0.995,0.99461,0.12495,0.13836,0.7461,0.000614,0.000614,0.000614
72,581.2,0.17137,0.17235,0.78044,0.99988,0.99502,0.995,0.9946,0.1239,0.13581,0.74648,0.0005942,0.0005942,0.0005942
73,589.912,0.17248,0.17494,0.78246,0.99989,0.99502,0.995,0.99468,0.12877,0.1354,0.74615,0.0005744,0.0005744,0.0005744
74,597.522,0.17603,0.17194,0.78025,0.99987,0.99502,0.995,0.99466,0.14,0.14732,0.74693,0.0005546,0.0005546,0.0005546
75,608.292,0.16745,0.1656,0.78596,0.9999,0.99502,0.995,0.99466,0.12219,0.12834,0.74446,0.0005348,0.0005348,0.0005348
76,617.892,0.17066,0.17498,0.77888,0.99988,0.99502,0.995,0.99462,0.12848,0.12903,0.74457,0.000515,0.000515,0.000515
77,629.774,0.17312,0.16611,0.77889,0.99975,0.99502,0.995,0.9944,0.12194,0.13032,0.74366,0.0004952,0.0004952,0.0004952
78,639.168,0.16977,0.16745,0.78452,0.99984,0.99502,0.995,0.99461,0.11858,0.12539,0.74292,0.0004754,0.0004754,0.0004754
79,649.454,0.16405,0.16415,0.78442,0.99988,0.99502,0.995,0.99459,0.12152,0.1252,0.74378,0.0004556,0.0004556,0.0004556
80,657.933,0.16551,0.16382,0.78436,0.99987,0.99502,0.995,0.99453,0.12852,0.13255,0.74432,0.0004358,0.0004358,0.0004358
81,666.603,0.16056,0.16025,0.77502,0.99989,0.99502,0.995,0.99454,0.12306,0.13026,0.74388,0.000416,0.000416,0.000416
82,674.413,0.16748,0.1648,0.77744,0.9999,0.99502,0.995,0.99458,0.12425,0.12933,0.74357,0.0003962,0.0003962,0.0003962
83,681.732,0.16383,0.16696,0.78086,0.99989,0.99502,0.995,0.99454,0.12721,0.13537,0.74463,0.0003764,0.0003764,0.0003764
84,690.584,0.15979,0.16384,0.77982,0.99989,0.99502,0.995,0.99457,0.11973,0.13344,0.74402,0.0003566,0.0003566,0.0003566
85,698.718,0.16286,0.1608,0.78577,0.99988,0.99502,0.995,0.99463,0.1249,0.14029,0.74405,0.0003368,0.0003368,0.0003368
86,707.672,0.16243,0.1613,0.77854,0.99989,0.99502,0.995,0.99468,0.12149,0.12898,0.74313,0.000317,0.000317,0.000317
87,715.85,0.1658,0.16281,0.782,0.99988,0.99502,0.995,0.99464,0.12418,0.1243,0.74343,0.0002972,0.0002972,0.0002972
88,723.834,0.15606,0.15867,0.78193,0.99985,0.99502,0.995,0.99477,0.12001,0.13131,0.74251,0.0002774,0.0002774,0.0002774
89,731.035,0.15601,0.15733,0.7787,0.99972,0.99502,0.995,0.99467,0.11441,0.14294,0.74198,0.0002576,0.0002576,0.0002576
90,738.643,0.1598,0.16117,0.77455,0.99988,0.99502,0.995,0.99474,0.11818,0.1281,0.74286,0.0002378,0.0002378,0.0002378
91,754.506,0.14924,0.16508,0.76039,0.99991,0.99502,0.995,0.99468,0.1177,0.12106,0.74283,0.000218,0.000218,0.000218
92,761.531,0.15379,0.15474,0.75591,0.99991,0.99502,0.995,0.99457,0.12013,0.12498,0.742,0.0001982,0.0001982,0.0001982
93,769.105,0.14717,0.15398,0.7503,0.9999,0.99502,0.995,0.99458,0.11984,0.12309,0.74113,0.0001784,0.0001784,0.0001784
94,776.494,0.13872,0.15035,0.76691,0.9999,0.99502,0.995,0.99463,0.11928,0.12653,0.7414,0.0001586,0.0001586,0.0001586
95,783.538,0.14362,0.14906,0.76006,0.9999,0.99502,0.995,0.99459,0.12017,0.1253,0.74093,0.0001388,0.0001388,0.0001388
96,791.335,0.1392,0.15076,0.77124,0.9999,0.99502,0.995,0.99451,0.11826,0.12767,0.74042,0.000119,0.000119,0.000119
97,798.785,0.13591,0.14575,0.76044,0.9999,0.99502,0.995,0.99463,0.1173,0.12189,0.74058,9.92e-05,9.92e-05,9.92e-05
98,806.842,0.13711,0.1459,0.76938,0.9999,0.99502,0.995,0.99466,0.11584,0.12007,0.74066,7.94e-05,7.94e-05,7.94e-05
99,814.148,0.13603,0.13888,0.76444,0.99989,0.99502,0.995,0.99462,0.11373,0.1174,0.74074,5.96e-05,5.96e-05,5.96e-05
100,821.59,0.13577,0.14043,0.76029,0.99988,0.99502,0.995,0.99465,0.11244,0.11693,0.7409,3.98e-05,3.98e-05,3.98e-05
